,latitude,longitude,time
0,42.68334198,-73.6857452393,1584033429
1,42.68334198,-73.6857452393,1584034074
2,42.68334198,-73.6857452393,1584034390
3,42.68334198,-73.6857452393,1584035634
4,42.68334198,-73.6857452393,1584038375
5,42.68334198,-73.6857452393,1584038698
6,42.68334198,-73.6857452393,1584041463
7,42.68334198,-73.6857452393,1584042389
8,42.68334198,-73.6857452393,1584046703
9,42.68334198,-73.6857452393,1584047316
10,42.68334198,-73.6857452393,1584050094
11,42.68334198,-73.6857452393,1584050394
12,42.68334198,-73.6857452393,1584050721
13,42.68334198,-73.6857452393,1584051938
14,42.68334198,-73.6857452393,1584052264
15,42.68334198,-73.6857452393,1584056574
16,42.68334198,-73.6857452393,1584057174
17,42.68334198,-73.6857452393,1584058103
18,42.68334198,-73.6857452393,1584060257
19,42.68334198,-73.6857452393,1584060894
20,42.68334198,-73.6857452393,1584061194
21,42.68334198,-73.6857452393,1584061194
22,42.68334198,-73.6857452393,1584065514
23,42.68334198,-73.6857452393,1584065514
24,42.68334198,-73.6857452393,1584066458
25,42.68334198,-73.6857452393,1584066458
26,42.68334198,-73.6857452393,1584070755
27,42.68334198,-73.6857452393,1584070755
28,42.68334198,-73.6857452393,1584071378
29,42.68334198,-73.6857452393,1584071378
30,42.68334198,-73.6857452393,1584077007
31,42.68334198,-73.6857452393,1584077007
32,42.68334198,-73.6857452393,1584078225
33,42.68334198,-73.6857452393,1584078225
34,42.68334198,-73.6857452393,1584078855
35,42.68334198,-73.6857452393,1584078855
36,42.68334198,-73.6857452393,1584081587
37,42.68334198,-73.6857452393,1584081587
38,42.68334198,-73.6857452393,1584082216
39,42.68334198,-73.6857452393,1584082216
40,42.68334198,-73.6857452393,1584090890
41,42.68334198,-73.6857452393,1584090890
42,42.68334198,-73.6857452393,1584092150
43,42.68334198,-73.6857452393,1584092150
44,42.68334198,-73.6857452393,1584097429
45,42.68334198,-73.6857452393,1584097429
46,42.68334198,-73.6857452393,1584097729
47,42.68334198,-73.6857452393,1584097729
48,42.68334198,-73.6857452393,1584098031
49,42.68334198,-73.6857452393,1584098031
