,latitude,longitude,time
0,42.6298522949,-73.959487915,1584019820
1,42.6298522949,-73.959487915,1584027580
2,42.6298522949,-73.959487915,1584029364
3,42.6298522949,-73.959487915,1584044829
4,42.6298522949,-73.959487915,1584045120
5,42.6298522949,-73.959487915,1584053218
6,42.6298522949,-73.959487915,1584053463
7,42.6530754,-73.9477953,1584055423
8,42.6570297,-73.9176144,1584055682
9,42.6650166,-73.8509067,1584055928
10,42.674277,-73.8034479,1584056170
11,42.6865081787,-73.8073883057,1584056419
12,42.6865081787,-73.8073883057,1584060587
13,42.6851272,-73.7960105,1584116766
14,42.6805394,-73.7906551,1584117007
15,42.6737021,-73.7834868,1584117285
16,42.6569503,-73.7637998,1584117572
17,42.6545758,-73.7591284,1584117814
18,42.6500835,-73.7531601,1584118114
19,42.6510071,-73.7548557,1584118366
20,42.6574386,-73.7641886,1584118617
21,42.6646011,-73.7721399,1584118980
22,42.6650623,-73.7726057,1584119225
23,42.6643962,-73.7718853,1584119505
24,42.6644929,-73.7713259,1584119750
25,42.6643651,-73.771665,1584120011
26,42.6715487,-73.779985,1584120286
27,42.6757623,-73.7845832,1584120536
28,42.6774818,-73.7847333,1584120778
29,42.6768641,-73.7847743,1584121018
30,42.6753604,-73.7846605,1584121583
31,42.6800354,-73.7898703,1584121851
32,42.6825499,-73.7909753,1584122116
33,42.6865081787,-73.8073883057,1584124688
34,42.6865081787,-73.8073883057,1584173300
35,42.6865081787,-73.8073883057,1584174935
36,42.6865081787,-73.8073883057,1584181735
37,42.670936,-73.7873676,1584182039
38,42.661312200000005,-73.79739609999999,1584182319
39,42.6615084,-73.7979329,1584182560
40,42.66122120000001,-73.797522,1584195709
41,42.6711196,-73.7870824,1584196466
42,42.6797808,-73.78983249999999,1584196710
43,42.683604200000005,-73.80008240000001,1584196955
44,42.6865081787,-73.8073883057,1584197205
45,42.6865081787,-73.8073883057,1584201747
46,42.6949906,-73.8474591,1584217543
47,42.6935235,-73.850323,1584218111
48,42.6865998,-73.8137571,1584218362
49,42.6835845,-73.79407490000001,1584218673
50,42.6757605,-73.7849011,1584218921
51,42.6774153,-73.784773,1584219198
52,42.6773918,-73.78433009999999,1584219468
53,42.6770829,-73.7845275,1584219781
54,42.6761881,-73.7845717,1584220307
55,42.6796633,-73.78927900000001,1584220601
56,42.6865081787,-73.8073883057,1584221579
57,42.6865081787,-73.8073883057,1584250319
58,42.6695895,-73.739999,1584250569
59,42.629876200000005,-73.77812840000001,1584250858
60,42.5676524,-73.7884691,1584251102
61,42.5201477,-73.78774240000001,1584251346
62,42.4745514,-73.8069563,1584251590
63,42.3802238,-73.83657640000001,1584251866
64,42.3088693,-73.8700235,1584252114
65,42.2570602,-73.8814163,1584252358
66,42.2122708,-73.9148557,1584252602
67,42.1374106,-73.95010909999999,1584252849
68,42.0058295,-74.00265959999999,1584253362
69,42.0434149,-73.9917011,1584277472
70,42.07727,-73.97545290000001,1584277714
71,42.1105926,-73.9566843,1584278020
72,42.1265834,-73.95916679999999,1584278626
73,42.2122708,-73.9148557,1584278913
74,42.2670867,-73.84466309999999,1584279157
75,42.3271425,-73.8632645,1584279403
